--
-- TOC entry 4910 (class 0 OID 41045)
-- Dependencies: 221
-- Data for Name: dim_centro_distribuicao; Type: TABLE DATA; Schema: dw; Owner: -
--

COPY dw.dim_centro_distribuicao (id_centro, cd_id, nome_centro_distribuicao, regiao, cidade, estado, capacidade_armazenagem, tipo_cd) FROM stdin;
211	1	CD Joinville	Norte	\N	\N	5000	Regional
2024-06-16	2	P1001	Produto A	123	113	ENTRADA	-149
2024-01-06	3	P1001	Produto E	256	57	ENTRADA	199
2024-01-16	3	P1001	Produto D	68	246	ENTRADA	21
2024-01-21	3	P1001	Produto E	141	38	ENTRADA	124
2024-01-30	3	P1001	Produto A	143	110	ENTRADA	157
2024-02-09	3	P1001	Produto E	54	171	ENTRADA	40
2024-02-12	3	P1001	Produto C	7	183	ENTRADA	-136
2024-02-22	3	P1001	Produto C	221	40	ENTRADA	45
2024-03-03	3	P1001	Produto C	288	260	ENTRADA	73
2024-04-02	3	P1001	Produto A	236	276	ENTRADA	33
2024-04-03	3	P1001	Produto D	271	65	ENTRADA	239
2024-04-20	3	P1001	Produto C	263	224	ENTRADA	278
2024-04-21	3	P1001	Produto C	187	162	ENTRADA	303
2024-04-23	3	P1001	Produto F	8	39	ENTRADA	272
2024-05-17	3	P1001	Produto E	145	110	ENTRADA	307
2024-05-27	3	P1001	Produto E	200	196	ENTRADA	311
2024-06-02	3	P1001	Produto D	13	11	ENTRADA	313
2024-06-11	3	P1001	Produto C	205	16	ENTRADA	502
2024-01-01	4	P1001	Produto E	125	225	ENTRADA	-100
2024-01-02	4	P1001	Produto C	153	265	ENTRADA	-212
2024-02-09	4	P1001	Produto C	294	231	ENTRADA	-149
2024-03-08	4	P1001	Produto C	101	240	ENTRADA	-288
2024-03-10	4	P1001	Produto D	8	287	ENTRADA	-567
2024-03-11	4	P1001	Produto D	213	241	ENTRADA	-595
2024-03-22	4	P1001	Produto B	256	57	ENTRADA	-396
2024-04-12	4	P1001	Produto D	153	139	ENTRADA	-382
2024-04-14	4	P1001	Produto F	238	57	ENTRADA	-201
2024-04-18	4	P1001	Produto E	108	128	ENTRADA	-221
2024-04-22	4	P1001	Produto F	186	18	ENTRADA	-53
2024-04-22	4	P1001	Produto E	223	277	ENTRADA	-107
2024-06-01	4	P1001	Produto B	294	208	ENTRADA	-21
2024-06-02	4	P1001	Produto E	41	88	ENTRADA	-68
2024-06-15	4	P1001	Produto E	83	181	ENTRADA	-166
2024-06-17	4	P1001	Produto D	288	276	ENTRADA	-154
2024-06-21	4	P1001	Produto F	141	142	ENTRADA	-155
2024-01-21	5	P1001	Produto C	181	63	ENTRADA	118
2024-01-25	5	P1001	Produto E	140	231	ENTRADA	27
2024-02-04	5	P1001	Produto E	94	277	ENTRADA	-156
2024-02-28	5	P1001	Produto A	178	205	ENTRADA	-183
2024-02-29	5	P1001	Produto F	225	277	ENTRADA	-235
2024-03-25	5	P1001	Produto F	105	232	ENTRADA	-362
2024-03-25	5	P1001	Produto A	144	68	ENTRADA	-286
2024-03-27	5	P1001	Produto A	125	129	ENTRADA	-290
2024-04-18	5	P1001	Produto F	64	145	ENTRADA	-371
2024-04-25	5	P1001	Produto C	127	17	ENTRADA	-261
2024-04-28	5	P1001	Produto F	292	142	ENTRADA	-111
2024-05-07	5	P1001	Produto C	195	280	ENTRADA	-196
2024-05-09	5	P1001	Produto D	21	252	ENTRADA	-427
2024-05-14	5	P1001	Produto C	175	214	ENTRADA	-466
2024-06-18	5	P1001	Produto F	165	98	ENTRADA	-399
2024-06-27	5	P1001	Produto B	275	235	ENTRADA	-359
2024-01-06	6	P1001	Produto B	282	53	ENTRADA	229
2024-01-07	6	P1001	Produto B	168	137	ENTRADA	260
2024-01-09	6	P1001	Produto D	213	116	ENTRADA	357
2024-01-11	6	P1001	Produto E	278	27	ENTRADA	608
2024-01-28	6	P1001	Produto A	58	89	ENTRADA	577
2024-02-04	6	P1001	Produto D	212	158	ENTRADA	631
2024-02-04	6	P1001	Produto D	149	246	ENTRADA	534
2024-03-12	6	P1001	Produto E	66	50	ENTRADA	550
2024-03-25	6	P1001	Produto D	10	107	ENTRADA	453
2024-03-30	6	P1001	Produto D	118	155	ENTRADA	416
2024-04-04	6	P1001	Produto D	251	47	ENTRADA	620
2024-04-05	6	P1001	Produto C	99	58	ENTRADA	661
2024-04-27	6	P1001	Produto B	88	267	ENTRADA	288
2024-04-27	6	P1001	Produto C	50	244	ENTRADA	467
2024-05-07	6	P1001	Produto E	107	138	ENTRADA	257
2024-05-11	6	P1001	Produto B	165	13	ENTRADA	409
2024-05-24	6	P1001	Produto F	261	162	ENTRADA	508
2024-06-24	6	P1001	Produto F	186	231	ENTRADA	463
2024-01-18	7	P1001	Produto A	0	215	ENTRADA	-215
2024-01-18	7	P1001	Produto E	81	71	ENTRADA	-205
2024-01-25	7	P1001	Produto F	277	234	ENTRADA	-162
2024-02-02	7	P1001	Produto E	255	73	ENTRADA	20
2024-02-10	7	P1001	Produto D	32	47	ENTRADA	5
2024-02-16	7	P1001	Produto A	98	19	ENTRADA	84
2024-02-28	7	P1001	Produto E	156	190	ENTRADA	50
2024-03-22	7	P1001	Produto A	60	269	ENTRADA	-159
2024-03-27	7	P1001	Produto F	88	65	ENTRADA	-136
2024-03-29	7	P1001	Produto C	116	93	ENTRADA	-113
2024-03-30	7	P1001	Produto B	120	211	ENTRADA	-204
2024-03-31	7	P1001	Produto A	71	86	ENTRADA	-219
2024-04-05	7	P1001	Produto D	95	221	ENTRADA	-345
2024-04-22	7	P1001	Produto B	115	112	ENTRADA	-342
2024-04-26	7	P1001	Produto D	128	57	ENTRADA	-271
2024-04-27	7	P1001	Produto A	279	187	ENTRADA	-179
2024-04-27	7	P1001	Produto F	246	28	ENTRADA	39
2024-04-28	7	P1001	Produto D	232	17	ENTRADA	254
2024-05-03	7	P1001	Produto B	60	137	ENTRADA	332
2024-05-03	7	P1001	Produto D	274	119	ENTRADA	409
2024-05-25	7	P1001	Produto E	102	87	ENTRADA	347
2024-06-01	7	P1001	Produto F	235	227	ENTRADA	355
2024-06-08	7	P1001	Produto A	98	146	ENTRADA	307
2024-06-18	7	P1001	Produto D	213	284	ENTRADA	236
2024-06-20	7	P1001	Produto C	297	177	ENTRADA	356
2024-06-21	7	P1001	Produto F	63	257	ENTRADA	162
2024-01-04	8	P1001	Produto C	242	30	ENTRADA	212
2024-01-14	8	P1001	Produto D	129	230	ENTRADA	111
2024-01-15	8	P1001	Produto D	209	160	ENTRADA	160
2024-01-17	8	P1001	Produto A	128	129	ENTRADA	159
2024-01-21	8	P1001	Produto B	69	112	ENTRADA	116
2024-01-26	8	P1001	Produto D	288	0	ENTRADA	404
2024-02-06	8	P1001	Produto C	130	201	ENTRADA	333
2024-02-23	8	P1001	Produto A	226	138	ENTRADA	421
2024-03-17	8	P1001	Produto F	41	245	ENTRADA	217
2024-03-18	8	P1001	Produto F	220	42	ENTRADA	395
2024-03-19	8	P1001	Produto C	105	46	ENTRADA	454
2024-03-21	8	P1001	Produto A	48	291	ENTRADA	211
2024-03-22	8	P1001	Produto C	150	297	ENTRADA	64
2024-03-24	8	P1001	Produto E	188	48	ENTRADA	204
2024-03-25	8	P1001	Produto F	103	209	ENTRADA	98
2024-04-12	8	P1001	Produto E	220	123	ENTRADA	195
2024-04-19	8	P1001	Produto A	11	187	ENTRADA	19
2024-04-24	8	P1001	Produto B	270	166	ENTRADA	123
2024-05-07	8	P1001	Produto D	14	216	ENTRADA	-79
2024-05-28	8	P1001	Produto D	230	77	ENTRADA	74
2024-06-07	8	P1001	Produto C	98	148	ENTRADA	24
2024-06-09	8	P1001	Produto E	62	21	ENTRADA	65
2024-06-13	8	P1001	Produto A	46	147	ENTRADA	-36
2024-06-18	8	P1001	Produto B	292	67	ENTRADA	189
2024-06-23	8	P1001	Produto D	41	209	ENTRADA	21
2024-06-27	8	P1001	Produto A	75	45	ENTRADA	51
2024-01-06	9	P1001	Produto B	203	263	ENTRADA	138
2024-01-06	9	P1001	Produto B	218	20	ENTRADA	198
2024-01-13	9	P1001	Produto F	53	137	ENTRADA	54
2024-02-01	9	P1001	Produto D	101	266	ENTRADA	-111
2024-02-06	9	P1001	Produto E	72	139	ENTRADA	-178
2024-02-07	9	P1001	Produto E	288	253	ENTRADA	-143
2024-02-08	9	P1001	Produto F	125	299	ENTRADA	-317
2024-02-12	9	P1001	Produto B	211	167	ENTRADA	-273
2024-02-21	9	P1001	Produto F	212	249	ENTRADA	-310
2024-03-01	9	P1001	Produto C	189	190	ENTRADA	-311
2024-03-02	9	P1001	Produto E	248	187	ENTRADA	-250
2024-03-03	9	P1001	Produto A	88	175	ENTRADA	-337
2024-03-12	9	P1001	Produto F	18	194	ENTRADA	-513
2024-03-28	9	P1001	Produto A	139	105	ENTRADA	-479
2024-04-22	9	P1001	Produto F	116	133	ENTRADA	-471
2024-04-22	9	P1001	Produto B	187	162	ENTRADA	-454
2024-05-04	9	P1001	Produto D	97	266	ENTRADA	-640
2024-05-05	9	P1001	Produto B	250	168	ENTRADA	-558
2024-05-12	9	P1001	Produto E	65	74	ENTRADA	-567
2024-05-13	9	P1001	Produto D	283	181	ENTRADA	-465
2024-05-13	9	P1001	Produto F	151	25	ENTRADA	-339
2024-05-18	9	P1001	Produto C	146	136	ENTRADA	-329
2024-06-18	9	P1001	Produto E	54	250	ENTRADA	-525
2024-06-22	9	P1001	Produto E	7	78	ENTRADA	-596
2024-02-01	10	P1001	Produto B	85	249	ENTRADA	-164
2024-02-06	10	P1001	Produto E	27	40	ENTRADA	-177
2024-02-24	10	P1001	Produto F	118	207	ENTRADA	-266
2024-03-02	10	P1001	Produto B	5	57	ENTRADA	-318
2024-03-09	10	P1001	Produto C	6	102	ENTRADA	-414
2024-03-16	10	P1001	Produto B	225	175	ENTRADA	-364
2024-03-17	10	P1001	Produto B	94	134	ENTRADA	-404
2024-03-20	10	P1001	Produto D	94	150	ENTRADA	-460
2024-04-17	10	P1001	Produto D	296	251	ENTRADA	-415
2024-05-12	10	P1001	Produto C	30	22	ENTRADA	-407
2024-05-16	10	P1001	Produto B	120	124	ENTRADA	-411
2024-05-18	10	P1001	Produto E	259	213	ENTRADA	-365
2024-05-22	10	P1001	Produto E	25	46	ENTRADA	-386
2024-06-16	10	P1001	Produto E	201	211	ENTRADA	-396
2024-06-25	10	P1001	Produto E	26	194	ENTRADA	-564
2024-01-12	1	P1002	Produto F	81	290	ENTRADA	-72
2024-01-12	1	P1002	Produto B	261	124	ENTRADA	137
2024-01-14	1	P1002	Produto A	250	232	ENTRADA	-54
2024-02-05	1	P1002	Produto E	65	257	ENTRADA	-246
2024-02-25	1	P1002	Produto D	256	7	ENTRADA	3
2024-02-29	1	P1002	Produto B	231	276	ENTRADA	-42
2024-03-13	1	P1002	Produto C	235	33	ENTRADA	160
2024-03-21	1	P1002	Produto B	219	53	ENTRADA	326
2024-04-07	1	P1002	Produto E	4	1	ENTRADA	329
2024-05-01	1	P1002	Produto F	117	47	ENTRADA	399
2024-05-03	1	P1002	Produto D	6	195	ENTRADA	210
2024-06-01	1	P1002	Produto D	125	11	ENTRADA	324
2024-06-02	1	P1002	Produto E	130	297	ENTRADA	157
2024-06-19	1	P1002	Produto B	131	84	ENTRADA	204
2024-01-13	2	P1002	Produto E	212	282	ENTRADA	-70
2024-02-05	2	P1002	Produto E	254	252	ENTRADA	-68
2024-02-13	2	P1002	Produto F	269	270	ENTRADA	-69
2024-02-19	2	P1002	Produto F	248	165	ENTRADA	14
2024-02-20	2	P1002	Produto C	278	175	ENTRADA	117
2024-03-09	2	P1002	Produto A	210	267	ENTRADA	60
2024-03-10	2	P1002	Produto B	55	112	ENTRADA	3
2024-03-20	2	P1002	Produto A	11	72	ENTRADA	-58
2024-03-24	2	P1002	Produto C	20	195	ENTRADA	-233
2024-03-26	2	P1002	Produto E	122	117	ENTRADA	-228
2024-04-01	2	P1002	Produto F	50	152	ENTRADA	-330
2024-04-11	2	P1002	Produto B	12	183	ENTRADA	-501
2024-04-28	2	P1002	Produto B	126	74	ENTRADA	-449
2024-04-29	2	P1002	Produto F	191	174	ENTRADA	-432
2024-05-01	2	P1002	Produto B	122	8	ENTRADA	-318
2024-05-11	2	P1002	Produto E	125	74	ENTRADA	-267
2024-05-12	2	P1002	Produto F	145	73	ENTRADA	-195
2024-05-18	2	P1002	Produto B	163	160	ENTRADA	-192
2024-05-21	2	P1002	Produto D	149	35	ENTRADA	-78
2024-05-27	2	P1002	Produto F	132	226	ENTRADA	-172
2024-06-19	2	P1002	Produto E	152	275	ENTRADA	-295
2024-06-29	2	P1002	Produto D	254	142	ENTRADA	-183
2024-01-16	3	P1002	Produto D	237	133	ENTRADA	104
2024-02-01	3	P1002	Produto C	255	186	ENTRADA	173
2024-02-05	3	P1002	Produto E	148	266	ENTRADA	55
2024-03-08	3	P1002	Produto F	158	162	ENTRADA	51
2024-03-11	3	P1002	Produto B	290	207	ENTRADA	134
2024-03-23	3	P1002	Produto C	185	249	ENTRADA	70
2024-03-30	3	P1002	Produto C	76	136	ENTRADA	10
2024-04-03	3	P1002	Produto C	207	139	ENTRADA	78
2024-04-07	3	P1002	Produto A	20	299	ENTRADA	-201
2024-04-17	3	P1002	Produto E	285	229	ENTRADA	-145
2024-04-28	3	P1002	Produto C	178	209	ENTRADA	-176
2024-05-14	3	P1002	Produto D	14	110	ENTRADA	-272
2024-06-04	3	P1002	Produto D	157	145	ENTRADA	-260
2024-06-06	3	P1002	Produto E	115	213	ENTRADA	-358
2024-06-12	3	P1002	Produto A	289	259	ENTRADA	-328
2024-06-14	3	P1002	Produto E	53	183	ENTRADA	-458
2024-06-16	3	P1002	Produto A	77	174	ENTRADA	-555
2024-06-27	3	P1002	Produto E	219	157	ENTRADA	-493
2024-06-30	3	P1002	Produto D	3	291	ENTRADA	-781
2024-01-05	4	P1002	Produto B	92	12	ENTRADA	80
2024-01-29	4	P1002	Produto A	272	68	ENTRADA	284
2024-02-01	4	P1002	Produto A	42	77	ENTRADA	249
2024-02-03	4	P1002	Produto B	146	95	ENTRADA	300
2024-02-14	4	P1002	Produto C	233	50	ENTRADA	483
2024-03-08	4	P1002	Produto E	159	42	ENTRADA	600
2024-03-21	4	P1002	Produto F	92	85	ENTRADA	607
2024-04-15	4	P1002	Produto D	108	220	ENTRADA	495
2024-04-24	4	P1002	Produto A	233	27	ENTRADA	701
2024-04-26	4	P1002	Produto A	85	288	ENTRADA	498
2024-04-30	4	P1002	Produto E	18	129	ENTRADA	387
2024-05-01	4	P1002	Produto B	177	27	ENTRADA	537
2024-05-07	4	P1002	Produto B	7	128	ENTRADA	416
2024-05-13	4	P1002	Produto F	129	292	ENTRADA	253
2024-05-20	4	P1002	Produto A	165	99	ENTRADA	319
2024-05-28	4	P1002	Produto B	86	78	ENTRADA	327
2024-06-25	4	P1002	Produto B	160	126	ENTRADA	361
2024-06-25	4	P1002	Produto E	57	287	ENTRADA	131
2024-06-25	4	P1002	Produto D	265	94	ENTRADA	302
2024-01-03	5	P1002	Produto B	116	220	ENTRADA	-104
2024-01-13	5	P1002	Produto B	212	180	ENTRADA	-72
2024-02-04	5	P1002	Produto B	127	112	ENTRADA	-57
2024-02-22	5	P1002	Produto F	12	164	ENTRADA	-209
2024-02-26	5	P1002	Produto E	81	68	ENTRADA	-196
2024-03-01	5	P1002	Produto E	180	36	ENTRADA	-52
2024-03-01	5	P1002	Produto C	62	120	ENTRADA	-110
2024-03-04	5	P1002	Produto D	203	30	ENTRADA	63
2024-03-27	5	P1002	Produto F	26	286	ENTRADA	-197
2024-04-01	5	P1002	Produto C	108	83	ENTRADA	-172
2024-04-14	5	P1002	Produto A	277	236	ENTRADA	-131
2024-04-16	5	P1002	Produto B	246	7	ENTRADA	108
2024-04-21	5	P1002	Produto F	181	12	ENTRADA	277
2024-04-23	5	P1002	Produto F	8	250	ENTRADA	35
2024-04-29	5	P1002	Produto D	72	198	ENTRADA	-91
2024-05-20	5	P1002	Produto E	24	78	ENTRADA	-145
2024-06-04	5	P1002	Produto F	268	277	ENTRADA	-154
2024-06-09	5	P1002	Produto D	171	273	ENTRADA	-256
2024-06-18	5	P1002	Produto E	36	169	ENTRADA	-389
2024-06-25	5	P1002	Produto A	282	176	ENTRADA	-283
2024-01-05	6	P1002	Produto F	110	219	ENTRADA	-109
2024-01-12	6	P1002	Produto C	135	92	ENTRADA	-66
2024-02-06	6	P1002	Produto E	41	40	ENTRADA	-65
2024-02-21	6	P1002	Produto D	101	74	ENTRADA	-38
2024-03-03	6	P1002	Produto B	179	169	ENTRADA	-28
2024-03-07	6	P1002	Produto B	125	276	ENTRADA	-179
2024-03-10	6	P1002	Produto A	67	51	ENTRADA	-163
2024-04-09	6	P1002	Produto D	179	122	ENTRADA	-106
2024-04-16	6	P1002	Produto D	113	251	ENTRADA	-244
2024-04-20	6	P1002	Produto A	235	82	ENTRADA	-91
2024-04-22	6	P1002	Produto A	241	123	ENTRADA	27
2024-04-23	6	P1002	Produto C	272	103	ENTRADA	196
2024-05-03	6	P1002	Produto E	162	280	ENTRADA	78
2024-05-12	6	P1002	Produto F	274	211	ENTRADA	141
2024-05-13	6	P1002	Produto D	190	217	ENTRADA	114
2024-06-02	6	P1002	Produto F	89	173	ENTRADA	30
2024-06-09	6	P1002	Produto B	260	137	ENTRADA	153
2024-06-13	6	P1002	Produto D	299	289	ENTRADA	163
2024-06-18	6	P1002	Produto A	293	149	ENTRADA	307
2024-06-20	6	P1002	Produto C	109	264	ENTRADA	152
2024-06-25	6	P1002	Produto D	25	74	ENTRADA	103
2024-06-28	6	P1002	Produto B	225	157	ENTRADA	171
2024-06-29	6	P1002	Produto F	187	287	ENTRADA	71
2024-01-01	7	P1002	Produto A	250	173	ENTRADA	77
2024-01-04	7	P1002	Produto C	128	279	ENTRADA	-74
2024-01-12	7	P1002	Produto E	45	154	ENTRADA	-183
2024-01-16	7	P1002	Produto B	31	161	ENTRADA	-389
2024-01-16	7	P1002	Produto F	209	285	ENTRADA	-259
2024-01-19	7	P1002	Produto E	220	21	ENTRADA	-190
2024-01-21	7	P1002	Produto C	214	87	ENTRADA	-63
2024-01-24	7	P1002	Produto A	159	151	ENTRADA	-55
2024-01-28	7	P1002	Produto C	213	199	ENTRADA	-41
2024-01-31	7	P1002	Produto F	213	170	ENTRADA	2
2024-02-10	7	P1002	Produto E	104	201	ENTRADA	-95
2024-02-16	7	P1002	Produto E	131	278	ENTRADA	-242
2024-02-24	7	P1002	Produto C	113	144	ENTRADA	-273
2024-03-04	7	P1002	Produto A	70	268	ENTRADA	-471
2024-03-05	7	P1002	Produto A	105	180	ENTRADA	-546
2024-03-07	7	P1002	Produto B	262	295	ENTRADA	-579
2024-03-09	7	P1002	Produto B	296	230	ENTRADA	-513
2024-03-09	7	P1002	Produto E	245	250	ENTRADA	-518
2024-03-13	7	P1002	Produto C	124	174	ENTRADA	-568
2024-03-19	7	P1002	Produto C	80	132	ENTRADA	-620
2024-03-22	7	P1002	Produto B	37	126	ENTRADA	-709
2024-04-09	7	P1002	Produto D	13	1	ENTRADA	-697
2024-04-10	7	P1002	Produto B	245	99	ENTRADA	-551
2024-04-17	7	P1002	Produto E	219	93	ENTRADA	-425
2024-05-10	7	P1002	Produto E	160	177	ENTRADA	-442
2024-05-21	7	P1002	Produto B	262	160	ENTRADA	-340
2024-06-14	7	P1002	Produto E	115	190	ENTRADA	-415
2024-06-18	7	P1002	Produto C	12	35	ENTRADA	-438
2024-01-02	8	P1002	Produto F	21	153	ENTRADA	-132
2024-01-07	8	P1002	Produto A	282	121	ENTRADA	29
2024-01-13	8	P1002	Produto F	112	228	ENTRADA	-87
2024-01-14	8	P1002	Produto F	105	216	ENTRADA	-198
2024-01-21	8	P1002	Produto F	227	138	ENTRADA	-109
2024-01-29	8	P1002	Produto F	208	127	ENTRADA	-28
2024-03-07	8	P1002	Produto C	236	288	ENTRADA	-84
2024-03-07	8	P1002	Produto D	174	178	ENTRADA	-32
2024-03-08	8	P1002	Produto A	124	109	ENTRADA	-69
2024-03-14	8	P1002	Produto A	140	245	ENTRADA	-174
2024-03-19	8	P1002	Produto C	172	299	ENTRADA	-301
2024-04-06	8	P1002	Produto C	95	87	ENTRADA	-293
2024-04-06	8	P1002	Produto D	136	183	ENTRADA	-340
2024-04-11	8	P1002	Produto F	137	162	ENTRADA	-178
2024-04-11	8	P1002	Produto D	270	83	ENTRADA	-153
2024-04-20	8	P1002	Produto B	143	71	ENTRADA	-106
2024-05-13	8	P1002	Produto F	217	140	ENTRADA	35
2024-05-13	8	P1002	Produto D	236	172	ENTRADA	-42
2024-05-19	8	P1002	Produto A	276	60	ENTRADA	251
2024-05-27	8	P1002	Produto B	56	217	ENTRADA	237
2024-05-27	8	P1002	Produto C	151	4	ENTRADA	398
2024-06-04	8	P1002	Produto F	12	292	ENTRADA	-43
2024-06-06	8	P1002	Produto F	133	66	ENTRADA	24
2024-06-12	8	P1002	Produto F	268	180	ENTRADA	112
2024-06-27	8	P1002	Produto D	79	82	ENTRADA	109
2024-01-10	9	P1002	Produto A	252	288	ENTRADA	-36
2024-01-14	9	P1002	Produto D	25	65	ENTRADA	-76
2024-01-21	9	P1002	Produto D	88	13	ENTRADA	-1
2024-01-22	9	P1002	Produto B	97	143	ENTRADA	-47
2024-02-06	9	P1002	Produto C	257	57	ENTRADA	153
2024-02-12	9	P1002	Produto D	15	46	ENTRADA	122
2024-02-14	9	P1002	Produto A	46	120	ENTRADA	48
2024-02-16	9	P1002	Produto B	285	241	ENTRADA	129
2024-02-16	9	P1002	Produto F	157	120	ENTRADA	85
2024-03-16	9	P1002	Produto B	53	271	ENTRADA	-89
2024-04-10	9	P1002	Produto A	228	11	ENTRADA	128
2024-04-15	9	P1002	Produto A	266	180	ENTRADA	214
2024-04-20	9	P1002	Produto A	53	28	ENTRADA	239
2024-04-21	9	P1002	Produto F	93	126	ENTRADA	206
2024-06-14	9	P1002	Produto E	279	80	ENTRADA	405
2024-06-18	9	P1002	Produto E	133	223	ENTRADA	315
2024-06-18	9	P1002	Produto A	99	213	ENTRADA	201
2024-06-25	9	P1002	Produto E	149	214	ENTRADA	136
2024-06-29	9	P1002	Produto C	47	193	ENTRADA	-10
2024-01-01	10	P1002	Produto B	236	69	ENTRADA	167
2024-01-04	10	P1002	Produto E	108	97	ENTRADA	178
2024-01-11	10	P1002	Produto C	10	293	ENTRADA	-105
2024-02-01	10	P1002	Produto D	53	51	ENTRADA	-103
2024-02-08	10	P1002	Produto B	117	258	ENTRADA	-244
2024-02-08	10	P1002	Produto F	243	273	ENTRADA	-274
2024-02-13	10	P1002	Produto B	139	131	ENTRADA	-266
2024-03-04	10	P1002	Produto C	9	230	ENTRADA	-487
2024-03-31	10	P1002	Produto C	38	125	ENTRADA	-574
2024-04-17	10	P1002	Produto C	275	49	ENTRADA	-348
2024-05-01	10	P1002	Produto F	127	178	ENTRADA	-399
2024-05-06	10	P1002	Produto A	275	204	ENTRADA	-328
2024-05-14	10	P1002	Produto D	15	150	ENTRADA	-463
2024-06-13	10	P1002	Produto C	144	84	ENTRADA	-403
2024-01-09	1	P1003	Produto B	213	272	ENTRADA	-59
2024-01-12	1	P1003	Produto B	189	138	ENTRADA	-8
2024-01-27	1	P1003	Produto D	104	180	ENTRADA	-84
2024-02-04	1	P1003	Produto E	130	256	ENTRADA	-210
2024-03-05	1	P1003	Produto B	270	99	ENTRADA	-39
2024-03-10	1	P1003	Produto A	27	65	ENTRADA	-77
2024-03-16	1	P1003	Produto E	254	189	ENTRADA	-12
2024-03-29	1	P1003	Produto C	169	187	ENTRADA	-30
2024-04-01	1	P1003	Produto F	92	172	ENTRADA	-183
2024-04-01	1	P1003	Produto D	179	252	ENTRADA	-103
2024-04-18	1	P1003	Produto F	290	236	ENTRADA	-129
2024-05-03	1	P1003	Produto D	293	142	ENTRADA	22
2024-05-11	1	P1003	Produto A	198	214	ENTRADA	6
